Population,Known Locations,Algorithm,Number Correct,Average Distance to True Location,Runtime (Seconds),Standard Deviation of Average Distances
100,0,Random,1.1,0.508,0.0003,0.03
100,0,Greedy,1.5,0.4992,0.0044,0.087
100,0,Partitioning-Based,2.0,0.4525,285.4417,0.118
100,0,Graph Drawing Greedy,1.5333,0.5198,0.0445,0.1168
100,0,Graph Drawing Optimal,2.1333,0.5101,0.0467,0.1252
100,3,Random,3.9,0.5005,0.0002,0.033
100,3,Greedy,5.0667,0.4501,0.002,0.0681
100,3,Partitioning-Based,4.1667,0.4857,283.9049,0.0341
100,3,Graph Drawing Greedy,9.9,0.333,0.0443,0.1373
100,3,Graph Drawing Optimal,12.3,0.301,0.0463,0.1566
100,3,SLP Greedy,6.3667,0.3531,0.0057,0.0543
100,3,SLP Optimal,6.3333,0.3346,0.0072,0.0463
100,10,Random,11.0667,0.4699,0.0002,0.0268
100,10,Greedy,12.7,0.3832,0.0021,0.0779
100,10,Partitioning-Based,11.4667,0.4359,285.8168,0.1122
100,10,Graph Drawing Greedy,27.2,0.1356,0.0439,0.0455
100,10,Graph Drawing Optimal,33.3667,0.0931,0.045,0.058
100,10,SLP Greedy,17.4333,0.205,0.0052,0.0316
100,10,SLP Optimal,20.4333,0.1745,0.0057,0.0319
100,50,Random,51.0667,0.2599,0.0002,0.0185
100,50,Greedy,53.0333,0.2108,0.0019,0.047
100,50,Partitioning-Based,51.3333,0.2384,288.3011,0.0554
100,50,Graph Drawing Greedy,67.4333,0.0546,0.0406,0.0155
100,50,Graph Drawing Optimal,73.0,0.0321,0.0404,0.0098
100,50,SLP Greedy,66.9667,0.0619,0.0026,0.0163
100,50,SLP Optimal,72.6,0.0352,0.0021,0.0069
500,0,Random,0.9667,0.5176,0.0023,0.0127
500,0,Greedy,1.2667,0.5115,0.1124,0.0561
500,0,Partitioning-Based,4.9667,0.3746,283.8927,0.1907
500,0,Graph Drawing Greedy,2.0,0.4881,3.0499,0.1288
500,0,Graph Drawing Optimal,3.3333,0.484,3.1179,0.1373
500,3,Random,3.7667,0.5168,0.0022,0.0118
500,3,Greedy,4.8,0.4905,0.0394,0.0649
500,3,Partitioning-Based,7.4667,0.4172,283.1917,0.1801
500,3,Graph Drawing Greedy,5.4333,0.4459,3.4839,0.1276
500,3,Graph Drawing Optimal,6.6667,0.4418,3.581,0.1589
500,3,SLP Greedy,6.0,0.3776,0.1385,0.042
500,3,SLP Optimal,6.4333,0.3707,0.2621,0.0347
500,10,Random,10.9333,0.5122,0.0023,0.0133
500,10,Greedy,12.4667,0.4835,0.0383,0.0632
500,10,Partitioning-Based,13.6,0.4144,284.727,0.1646
500,10,Graph Drawing Greedy,17.1667,0.2755,3.2219,0.1148
500,10,Graph Drawing Optimal,21.4,0.2471,3.3008,0.1399
500,10,SLP Greedy,20.1667,0.2393,0.1354,0.0395
500,10,SLP Optimal,21.0333,0.219,0.189,0.0257
500,50,Random,50.9667,0.4701,0.0023,0.0115
500,50,Greedy,52.4667,0.4307,0.0389,0.0733
500,50,Partitioning-Based,55.3333,0.3128,284.5466,0.1352
500,50,Graph Drawing Greedy,63.5667,0.1343,2.966,0.0072
500,50,Graph Drawing Optimal,89.7,0.0746,3.0197,0.0077
500,50,SLP Greedy,82.5333,0.118,0.1191,0.0127
500,50,SLP Optimal,91.8667,0.0968,0.1284,0.0079
1000,0,Random,0.9,0.5218,0.0078,0.0092
1000,0,Greedy,0.8333,0.5176,0.5069,0.0601
1000,0,Partitioning-Based,5.5,0.3561,287.2448,0.1512
1000,0,Graph Drawing Greedy,1.8,0.5069,7.8388,0.1005
1000,0,Graph Drawing Optimal,2.5,0.5032,8.2285,0.1016
1000,3,Random,3.8,0.5202,0.0078,0.0085
1000,3,Greedy,4.6333,0.4867,0.1524,0.0534
1000,3,Partitioning-Based,8.6667,0.3976,288.3678,0.1945
1000,3,Graph Drawing Greedy,4.8,0.4691,8.3924,0.1112
1000,3,Graph Drawing Optimal,5.8333,0.4549,8.9665,0.1251
1000,3,SLP Greedy,7.0,0.3754,0.5588,0.0468
1000,3,SLP Optimal,6.2667,0.3784,1.465,0.0387
1000,10,Random,10.5667,0.5169,0.0078,0.0066
1000,10,Greedy,12.1667,0.486,0.1498,0.047
1000,10,Partitioning-Based,16.0,0.3853,288.1732,0.1688
1000,10,Graph Drawing Greedy,13.5667,0.3288,8.954,0.1176
1000,10,Graph Drawing Optimal,17.4667,0.3051,9.519,0.1357
1000,10,SLP Greedy,19.9,0.2424,0.5497,0.029
1000,10,SLP Optimal,20.9,0.2278,0.9794,0.0244
1000,50,Random,50.7667,0.4912,0.0082,0.0101
1000,50,Greedy,52.0,0.4709,0.1532,0.0578
1000,50,Partitioning-Based,56.3,0.3717,288.0307,0.1962
1000,50,Graph Drawing Greedy,58.4,0.1656,7.8734,0.0078
1000,50,Graph Drawing Optimal,84.4,0.0941,8.3528,0.008
1000,50,SLP Greedy,91.8667,0.1187,0.5245,0.0108
1000,50,SLP Optimal,97.9333,0.0998,0.65,0.0083
