Known Locations,Algorithm,Number Correct,Average Distance to True Location (KM),Runtime (Seconds),Standard Deviation of Average Distances
0,Random,0.9,209.5917,0.0038,4.1064
0,Greedy,1.0,170.6956,0.246,0.0
0,Partitioning-Based,4.033333333333333,104.7426,285.7509,43.3265
0,Graph Drawing Greedy,1.4333333333333333,199.3016,4.6728,19.3279
0,Graph Drawing Optimal,0.8,201.6884,4.9119,30.2312
3,Random,4.1,207.9628,0.0037,5.0513
3,Greedy,5.766666666666667,182.8184,0.0813,58.3624
3,Partitioning-Based,6.7,122.1177,285.8284,64.8749
3,Graph Drawing Greedy,4.933333333333334,139.5066,5.0935,32.354
3,Graph Drawing Optimal,4.133333333333334,204.8988,5.6657,35.9919
3,SLP Greedy,8.266666666666667,120.5006,0.3597,24.7866
3,SLP Optimal,6.5,122.8869,0.6098,28.7577
68,Random,69.23333333333333,188.417,0.0041,5.008
68,Greedy,71.46666666666667,164.1009,0.0884,43.7445
68,Partitioning-Based,71.1,125.4812,284.9353,59.5778
68,Graph Drawing Greedy,71.96666666666667,88.8192,4.4257,15.5496
68,Graph Drawing Optimal,73.63333333333334,91.7223,4.6021,29.397
68,SLP Greedy,122.43333333333334,24.1195,0.2604,4.6385
68,SLP Optimal,144.76666666666668,16.3537,0.2329,1.6099
206,Random,206.96666666666667,146.4463,0.0046,5.1777
206,Greedy,209.03333333333333,123.3351,0.0882,37.2241
206,Partitioning-Based,208.56666666666666,96.3474,283.7865,41.2542
206,Graph Drawing Greedy,215.03333333333333,39.9059,3.4763,5.084
206,Graph Drawing Optimal,229.53333333333333,22.9742,3.5179,4.4017
206,SLP Greedy,312.1,10.9038,0.1711,1.116
206,SLP Optimal,382.53333333333336,6.0605,0.1333,0.5299
344,Random,345.2,105.6572,0.005,4.3712
344,Greedy,349.0,92.5163,0.0806,30.1973
344,Partitioning-Based,346.1666666666667,86.9138,283.5466,30.1202
344,Graph Drawing Greedy,353.23333333333335,24.5466,2.4794,1.9693
344,Graph Drawing Optimal,380.1666666666667,11.8686,2.4738,0.9833
344,SLP Greedy,468.26666666666665,5.9052,0.112,0.7993
344,SLP Optimal,545.4,2.373,0.0697,0.2711
481,Random,482.26666666666665,61.9211,0.0053,3.6087
481,Greedy,494.26666666666665,30.807,0.0677,9.8646
481,Partitioning-Based,482.2,58.1959,282.5963,11.4732
481,Graph Drawing Greedy,492.73333333333335,13.4944,1.5587,1.0867
481,Graph Drawing Optimal,522.2666666666667,5.8499,1.5356,0.5562
481,SLP Greedy,588.3666666666667,2.8807,0.0644,0.672
481,SLP Optimal,637.4,0.85,0.0305,0.1887
