Known Locations,Algorithm,Number Correct,Average Distance to True Location (KM),Runtime (Seconds),Standard Deviation of Average Distances
0,Random,0.8666666666666667,14.3214,0.0007,0.5228
0,Greedy,0.0,11.9232,0.0269,0.0
0,Partitioning-Based,1.8,13.2904,283.896,4.9241
0,Graph Drawing Greedy,0.9,13.2168,0.2113,4.5173
0,Graph Drawing Optimal,1.3333333333333333,12.2816,0.2326,5.2208
3,Random,3.8333333333333335,14.0037,0.0006,0.4894
3,Greedy,5.266666666666667,12.2937,0.0081,3.2437
3,Partitioning-Based,5.333333333333333,12.8705,284.6852,6.2321
3,Graph Drawing Greedy,4.366666666666666,12.3244,0.2125,4.8397
3,Graph Drawing Optimal,4.1,13.803,0.2449,1.4125
3,SLP Greedy,5.8,8.9407,0.0283,2.1258
3,SLP Optimal,6.4,8.6717,0.0454,1.9489
24,Random,24.7,12.8288,0.0007,0.5256
24,Greedy,26.533333333333335,9.6616,0.008,2.5359
24,Partitioning-Based,28.1,8.8655,287.8824,5.8502
24,Graph Drawing Greedy,25.7,11.8389,0.2076,2.6982
24,Graph Drawing Optimal,25.7,11.3532,0.2288,2.438
24,SLP Greedy,39.5,3.5633,0.025,0.504
24,SLP Optimal,44.266666666666666,3.0945,0.0295,0.3271
72,Random,72.8,9.8672,0.0007,0.4254
72,Greedy,75.1,7.7779,0.0084,1.9036
72,Partitioning-Based,74.06666666666666,8.1842,283.0096,3.4914
72,Graph Drawing Greedy,73.26666666666667,8.769,0.1978,1.682
72,Graph Drawing Optimal,73.76666666666667,8.734,0.2045,1.6872
72,SLP Greedy,96.9,2.0043,0.0181,0.201
72,SLP Optimal,104.83333333333333,1.6328,0.0174,0.1327
121,Random,121.7,7.0945,0.0007,0.5155
121,Greedy,124.0,5.6994,0.0083,1.4014
121,Partitioning-Based,122.1,6.6723,294.1341,1.9629
121,Graph Drawing Greedy,122.7,5.6124,0.1914,0.9208
121,Graph Drawing Optimal,122.96666666666667,5.3515,0.1918,0.8564
121,SLP Greedy,148.3,1.2781,0.012,0.1414
121,SLP Optimal,159.66666666666666,0.9474,0.0096,0.1104
169,Random,170.06666666666666,4.1691,0.0008,0.3
169,Greedy,173.1,3.1394,0.0072,1.2911
169,Partitioning-Based,170.23333333333332,3.8201,284.4788,0.8332
169,Graph Drawing Greedy,170.83333333333334,3.3555,0.1857,0.4627
169,Graph Drawing Optimal,171.23333333333332,3.1466,0.184,0.4386
169,SLP Greedy,194.3,0.6676,0.0069,0.138
169,SLP Optimal,206.83333333333334,0.4058,0.0045,0.1025
